dataset,classifier,seed,dF1@0.5,dF1@best,dPR-AUC_int,dPR-AUC_itr
IST2021,LogReg,42,0.1576,0.1228,0.1661,-0.0007
IST2021,LogReg,1,0.1625,0.1132,0.1723,0.0019
IST2021,LogReg,7,0.1515,0.1114,0.167,-0.0003
IST2021,LogReg,13,0.161,0.1107,0.1669,-0.0006
IST2021,LogReg,99,0.1508,0.1163,0.1659,0.0012
IST2021,RF,42,0.0494,0.0381,0.0363,0.0047
IST2021,RF,1,0.0619,0.0358,0.0342,0.0017
IST2021,RF,7,0.0691,0.0374,0.0353,0.0036
IST2021,RF,13,0.0603,0.028,0.0367,0.0082
IST2021,RF,99,0.0653,0.0263,0.0232,0.0016
IST2021,HistGB,42,0.0037,0.0119,0.0089,-0.0107
IST2021,HistGB,1,0.0173,0.0151,0.0107,-0.0048
IST2021,HistGB,7,0.0106,0.0121,0.0119,-0.0108
IST2021,HistGB,13,0.0121,0.01,0.0125,0.0024
IST2021,HistGB,99,0.0021,0.0043,-0.0,-0.0128
IST2021,LinearSVC,42,0.1675,0.1244,0.1727,-0.0005
IST2021,LinearSVC,1,0.169,0.1184,0.1779,0.0007
IST2021,LinearSVC,7,0.1539,0.1067,0.174,0.0008
IST2021,LinearSVC,13,0.1643,0.1244,0.1813,-0.0005
IST2021,LinearSVC,99,0.147,0.1219,0.1678,0.0004
ImprovMLCQ,LogReg,42,0.1452,0.091,0.0666,-0.0003
ImprovMLCQ,LogReg,1,0.1437,0.0897,0.0654,-0.0002
ImprovMLCQ,LogReg,7,0.1451,0.0924,0.0651,0.0005
ImprovMLCQ,LogReg,13,0.1467,0.0913,0.0653,0.0001
ImprovMLCQ,LogReg,99,0.1451,0.0878,0.0643,0.0003
ImprovMLCQ,RF,42,-0.027,-0.0092,-0.0059,-0.006
ImprovMLCQ,RF,1,-0.0261,-0.0064,-0.0034,-0.0025
ImprovMLCQ,RF,7,-0.0258,-0.0051,-0.0038,-0.0038
ImprovMLCQ,RF,13,-0.0298,-0.005,-0.0032,-0.0021
ImprovMLCQ,RF,99,-0.0311,-0.0031,-0.0039,-0.0031
ImprovMLCQ,HistGB,42,0.0291,0.0532,0.0126,0.0044
ImprovMLCQ,HistGB,1,0.0212,0.0489,0.0153,0.0075
ImprovMLCQ,HistGB,7,0.0234,0.0496,0.0087,-0.0021
ImprovMLCQ,HistGB,13,0.0202,0.0501,0.0133,0.0051
ImprovMLCQ,HistGB,99,0.0258,0.051,0.0137,0.0088
ImprovMLCQ,LinearSVC,42,0.142,0.0924,0.0684,-0.0001
ImprovMLCQ,LinearSVC,1,0.1437,0.0918,0.0665,0.0003
ImprovMLCQ,LinearSVC,7,0.1441,0.0918,0.0655,-0.0002
ImprovMLCQ,LinearSVC,13,0.1451,0.0885,0.0659,-0.0
ImprovMLCQ,LinearSVC,99,0.1441,0.0912,0.0651,0.0001
Crowdsmelling,LogReg,42,-0.0097,0.0084,0.0268,-0.0017
Crowdsmelling,LogReg,1,-0.0024,0.0078,0.0232,0.0006
Crowdsmelling,LogReg,7,-0.0219,0.003,0.0245,-0.0032
Crowdsmelling,LogReg,13,-0.0241,0.0057,0.0272,0.0016
Crowdsmelling,LogReg,99,-0.0001,0.0041,0.0249,0.0021
Crowdsmelling,RF,42,-0.0459,-0.0004,0.0051,0.0055
Crowdsmelling,RF,1,-0.0303,-0.001,-0.0024,-0.0021
Crowdsmelling,RF,7,-0.0469,0.0001,0.0016,0.0008
Crowdsmelling,RF,13,-0.0474,0.0004,-0.0016,0.0004
Crowdsmelling,RF,99,-0.0354,-0.0004,-0.0051,-0.0057
Crowdsmelling,HistGB,42,-0.0405,0.0001,0.0034,-0.0
Crowdsmelling,HistGB,1,-0.0294,0.0006,0.0017,0.0007
Crowdsmelling,HistGB,7,-0.0543,-0.0016,0.0021,0.0004
Crowdsmelling,HistGB,13,-0.0455,-0.0006,0.0018,0.0038
Crowdsmelling,HistGB,99,-0.0363,-0.0018,0.0006,-0.0013
Crowdsmelling,LinearSVC,42,-0.0121,0.0071,0.0235,0.0014
Crowdsmelling,LinearSVC,1,-0.0058,0.0045,0.0163,0.0024
Crowdsmelling,LinearSVC,7,-0.0205,0.0036,0.0246,-0.001
Crowdsmelling,LinearSVC,13,-0.0244,0.0056,0.0229,0.0026
Crowdsmelling,LinearSVC,99,-0.0046,0.0016,0.0224,0.0049
SmellyCode++,LogReg,42,0.0399,0.0272,0.0071,-0.0017
SmellyCode++,LogReg,1,0.0477,0.0328,0.0157,-0.0041
SmellyCode++,LogReg,7,0.0574,0.0438,0.0288,-0.0034
SmellyCode++,LogReg,13,0.0486,0.0455,0.0166,-0.0026
SmellyCode++,LogReg,99,0.0515,0.0402,0.0206,-0.0029
SmellyCode++,RF,42,-0.0148,-0.0005,-0.0119,-0.001
SmellyCode++,RF,1,-0.0052,-0.011,-0.0231,-0.0082
SmellyCode++,RF,7,-0.002,-0.0046,-0.0103,-0.0028
SmellyCode++,RF,13,0.0015,-0.0148,-0.0158,-0.0029
SmellyCode++,RF,99,-0.0021,-0.0125,-0.0157,-0.0008
SmellyCode++,HistGB,42,0.029,-0.0042,-0.0041,0.0046
SmellyCode++,HistGB,1,0.0157,-0.0125,-0.0109,0.0002
SmellyCode++,HistGB,7,0.0387,-0.0079,-0.0003,-0.0049
SmellyCode++,HistGB,13,0.0223,-0.0046,-0.0099,0.003
SmellyCode++,HistGB,99,0.0186,0.0007,0.0018,0.0077
SmellyCode++,LinearSVC,42,0.055,0.0442,0.0287,-0.0024
SmellyCode++,LinearSVC,1,0.0566,0.0554,0.0292,-0.0033
SmellyCode++,LinearSVC,7,0.06,0.0553,0.0329,-0.0008
SmellyCode++,LinearSVC,13,0.0553,0.0655,0.0318,-0.0014
SmellyCode++,LinearSVC,99,0.0525,0.0528,0.0237,-0.001
ml-Codesmell,LogReg,42,0.3179,0.3105,0.4852,0.0036
ml-Codesmell,LogReg,1,0.2981,0.2716,0.463,0.0049
ml-Codesmell,LogReg,7,0.3086,0.3014,0.4887,-0.0007
ml-Codesmell,LogReg,13,0.3095,0.3035,0.4742,-0.0043
ml-Codesmell,LogReg,99,0.3079,0.2838,0.4674,-0.0004
ml-Codesmell,RF,42,0.0221,0.0034,0.0029,0.0012
ml-Codesmell,RF,1,0.0218,0.0032,0.0006,0.0
ml-Codesmell,RF,7,0.0261,0.0035,0.0005,0.0
ml-Codesmell,RF,13,0.0302,0.0045,0.001,0.0003
ml-Codesmell,RF,99,0.0132,0.0022,0.0008,0.0006
ml-Codesmell,HistGB,42,0.0012,-0.0003,-0.0004,-0.0007
ml-Codesmell,HistGB,1,0.0032,0.0002,0.0,0.0007
ml-Codesmell,HistGB,7,0.0044,0.0,0.0,0.0
ml-Codesmell,HistGB,13,0.0,-0.0002,-0.0,-0.0
ml-Codesmell,HistGB,99,0.0033,-0.0011,-0.0001,0.0
ml-Codesmell,LinearSVC,42,0.4336,0.2867,0.4287,-0.0003
ml-Codesmell,LinearSVC,1,0.4577,0.3048,0.4468,0.0013
ml-Codesmell,LinearSVC,7,0.4302,0.2777,0.4091,0.0001
ml-Codesmell,LinearSVC,13,0.3911,0.2749,0.4279,-0.0057
ml-Codesmell,LinearSVC,99,0.453,0.2981,0.4196,-0.0091
